price_sold,city_sold,state_sold,zip_code,bds,ba,sqft,broker_name,month_sold,year_sold
232600,Jacksonville,fl,32234,3,2.0,1406.0,,10,2107
495000,Jacksonville,fl,32081,3,2.0,1832.0,,11,2021
473500,Jacksonville,fl,32256,4,4.0,2360.0,,11,2021
343000,Jacksonville,fl,32257,3,2.0,1728.0,,11,2021
300000,Jacksonville,fl,32221,4,2.0,1952.0,,11,2021
300000,Jacksonville,fl,32206,4,3.0,2003.0,,11,2021
437987,Jacksonville,fl,32256,3,3.0,2279.0,,11,2021
132500,Jacksonville,fl,32217,3,2.0,1430.0,,11,2021
100000,Jacksonville,fl,32209,3,2.0,1106.0,,11,2021
145000,Miami,fl,33150,0,0.0,5850.0,KELLER WILLIAMS EAGLE REALTY,11,2021
599000,Miami,fl,33131,2,2.0,1120.0,ENVIROTEK REALTY,11,2021
250000,Miami,fl,33156,0,0.0,816.0,MIAMI NEW REALTY,11,2021
700000,Miami,fl,33131,2,2.0,1168.0,"THE WORLD REALTY, INC",11,2021
8750000,Miami,fl,33156,7,8.0,8597.0,MITCHELL INTERNATIONAL RLTY,11,2021
480000,Miami,fl,33144,3,2.0,1612.0,KELLER WILLIAMS REALTY SW,11,2021
610000,Miami,fl,33127,0,0.0,2010.0,THE KEYES COMPANY,11,2021
350000,Miami,fl,33132,2,2.0,1041.0,"EXPRESS REAL ESTATE OF MIAMI, INC",10,2021
450000,Miami,fl,33137,2,2.0,835.0,"MIAMI WAVE REALTY, LLC",10,2021
555000,Tampa,fl,33609,3,2.0,1448.0,SMITH & ASSOCIATES REAL ESTATE,11,2021
1200000,Tampa,fl,33629,2,2.0,1476.0,KELLER WILLIAMS SOUTH TAMPA,11,2021
145000,Tampa,fl,33647,0,0.0,732.0,"MAVEN ESTATES, LLC",11,2021
1880000,Tampa,fl,33634,3,4.0,4176.0,STELLAR NON-MEMBER OFFICE,11,2021
1240000,Tampa,fl,33609,4,3.0,2530.0,SMITH & ASSOCIATES REAL ESTATE,11,2021
430000,Tampa,fl,33647,3,2.0,2159.0,FLORIDA EXECUTIVE REALTY,11,2021
146000,Tampa,fl,33617,2,2.0,879.0,KELLER WILLIAMS SOUTH TAMPA,11,2021
199040,Tampa,fl,33647,3,2.0,1336.0,,10,2021
434800,Tampa,fl,33647,6,4.0,2742.0,STELLAR NON-MEMBER OFFICE,10,2021
340000,Orlando,fl,32828,3,3.0,1846.0,RE/MAX 200 REALTY,11,2021
585000,Orlando,fl,32827,3,2.0,2293.0,MAINFRAME REAL ESTATE,11,2021
435000,Orlando,fl,32832,4,4.0,2476.0,MAINFRAME REAL ESTATE,11,2021
540000,Orlando,fl,32819,4,3.0,2753.0,REAL LIVING R E SOLUTIONS,11,2021
440000,Orlando,fl,32828,4,3.0,2328.0,THE WILKINS WAY LLC,11,2021
435500,Orlando,fl,32817,4,2.0,1940.0,,11,2021
120000,Orlando,fl,32832,0,0.0,0.0,"VENTURE I PROPERTIES, INC.",11,2021
328000,Orlando,fl,32803,3,3.0,1468.0,COLDWELL BANKER REALTY,11,2021
310000,Orlando,fl,32828,3,2.0,1568.0,Z HOUSE REALTY GROUP,11,2021
208000,Hialeah,fl,33012,3,2.0,1309.0,ROBERT SLACK LLC,10,2021
270000,Hialeah,fl,33010,3,2.0,1053.0,FORTUNE INTERNATIONAL REALTY,10,2021
285000,Hialeah,fl,33012,3,2.0,1264.0,ONEPATH REALTY LLC,10,2021
158000,Hialeah,fl,33012,0,0.0,660.0,MIAMI HOME BROKERS REALTY,10,2021
320000,Hialeah,fl,33010,3,3.0,1240.0,"AHMANTERI GROUP, LLC.",10,2021
358500,Hialeah,fl,33018,3,2.0,1285.0,FLORIDA REALTY OF MIAMI CORP,10,2021
435000,Hialeah,fl,33012,3,2.0,1340.0,"ONYX REALTY PROPERTIES, LLC.",10,2021
390000,Hialeah,fl,33010,4,2.0,1587.0,,10,2021
430000,Hialeah,fl,33018,3,3.0,1650.0,REALTY ONE GROUP EVOLUTION,10,2021
250000,Tallahassee,fl,32311,3,2.0,1571.0,XCELLENCE REALTY,11,2021
105000,Tallahassee,fl,32303,2,2.0,984.0,COLDWELL BANKER HARTUNG,11,2021
354980,Tallahassee,fl,32308,3,2.0,1569.0,"THE ZINS COMPANY, LLC",11,2021
112000,Tallahassee,fl,32312,2,1.0,940.0,CAPITAL CITY REAL ESTATE GROUP,11,2021
229000,Tallahassee,fl,32303,3,2.0,1280.0,BEVIS REALTY,11,2021
133500,Tallahassee,fl,32312,0,0.0,0.0,COBB REALTY & INVESTMENT COMPA,11,2021
130000,Tallahassee,fl,32310,3,2.0,1515.0,KELLER WILLIAMS TOWN & COUNTRY,11,2021
340000,Tallahassee,fl,32308,3,2.0,1633.0,"COTTON & COMPANY REAL ESTATE,",11,2021
210000,Tallahassee,fl,32311,3,2.0,1224.0,"KELLY & KELLY PROPERTIES, INC",11,2021
550000,Hollywood,fl,33020,3,2.0,1320.0,"ELITA REALTY, INC.",11,2021
1520000,Hollywood,fl,33019,2,3.0,2308.0,FGI REALTY,11,2021
290000,Hollywood,fl,33019,0,0.0,980.0,LEVCO REAL ESTATE GROUP LLC,10,2021
290000,Hollywood,fl,33019,0,0.0,847.0,"L M G REALTY, INC.",10,2021
280000,Hollywood,fl,33020,3,1.0,1375.0,OPEN TO CLOSE REALTY,10,2021
697000,Hollywood,fl,33021,4,2.0,2134.0,HAMPTON INTERNATIONAL REALTY,10,2021
405000,Hollywood,fl,33020,3,2.0,1298.0,UNITED REALTY GROUP INC,10,2021
518000,Hollywood,fl,33019,2,2.0,1176.0,OCEAN AVE REAL ESTATE LLC,10,2021
450000,Hollywood,fl,33019,3,3.0,1604.0,PROPERTY QUEST,10,2021
340000,Gainesville,fl,32607,3,2.0,2448.0,,11,2021
257000,Gainesville,fl,32607,3,2.0,1404.0,WATSON REALTY-TIOGA,11,2021
235000,Gainesville,fl,32607,3,4.0,1736.0,KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,11,2021
374278,Gainesville,fl,32608,4,2.0,2112.0,RABELL REALTY GROUP LLC,10,2021
135000,Gainesville,fl,32608,3,2.0,1152.0,KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,10,2021
320000,Gainesville,fl,32609,3,2.0,2020.0,BHHS FLORIDA REALTY,10,2021
202500,Gainesville,fl,32605,3,2.0,1522.0,COLDWELL BANKER MM PARRISH,10,2021
162500,Gainesville,fl,32653,2,2.0,960.0,DAWN REALTY,10,2021
658300,Gainesville,fl,32607,4,3.0,2956.0,COLDWELL BANKER MM PARRISH,10,2021
442500,Miramar,fl,33027,3,3.0,1650.0,COLDWELL BANKER REALTY,11,2021
420000,Miramar,fl,33023,3,2.0,1837.0,KELLER WILLIAMS REALTY JUPITER,10,2021
928000,Miramar,fl,33029,5,4.0,3707.0,NEALE REAL ESTATE COMPANY,10,2021
300000,Miramar,fl,33027,2,2.0,1068.0,LONDON FOSTER REALTY,10,2021
442400,Miramar,fl,33023,3,2.0,1552.0,,10,2021
655000,Miramar,fl,33029,4,3.0,2657.0,CACOPHONY GROUP LLC,10,2021
617000,Miramar,fl,33029,4,3.0,2481.0,KELLER WILLIAMS EAGLE REALTY,10,2021
500500,Miramar,fl,33025,3,2.0,1967.0,ABUNDANT HOMES REALTY AND INVESTMENTS LLC,10,2021
395000,Miramar,fl,33023,3,2.0,1611.0,BEACHFRONT REALTY INC,10,2021
