price_sold,city_sold,state_sold,zip_code,bds,ba,sqft,broker_name,month_sold,year_sold
"$232,600",Jacksonville,fl,32234,3 ,2 ,"1,406 ",,10,2107
"$495,000",Jacksonville,fl,32081,3 ,2 ,"1,832 ",,11,2021
"$473,500",Jacksonville,fl,32256,4 ,4 ,"2,360 ",,11,2021
"$343,000",Jacksonville,fl,32257,3 ,2 ,"1,728 ",,11,2021
"$300,000",Jacksonville,fl,32221,4 ,2 ,"1,952 ",,11,2021
"$300,000",Jacksonville,fl,32206,4 ,3 ,"2,003 ",,11,2021
"$437,987",Jacksonville,fl,32256,3 ,3 ,"2,279 ",,11,2021
"$132,500",Jacksonville,fl,32217,3 ,2 ,"1,430 ",,11,2021
"$100,000",Jacksonville,fl,32209,3 ,2 ,"1,106 ",,11,2021
"$145,000",Miami,fl,33150,0,0,"5,850 ",KELLER WILLIAMS EAGLE REALTY,11,2021
"$599,000",Miami,fl,33131,2 ,2 ,"1,120 ",ENVIROTEK REALTY,11,2021
"$250,000",Miami,fl,33156,0,0,816 ,MIAMI NEW REALTY,11,2021
"$700,000",Miami,fl,33131,2 ,2 ,"1,168 ","THE WORLD REALTY, INC",11,2021
$8.75M,Miami,fl,33156,7 ,8 ,"8,597 ",MITCHELL INTERNATIONAL RLTY,11,2021
"$480,000",Miami,fl,33144,3 ,2 ,"1,612 ",KELLER WILLIAMS REALTY SW,11,2021
"$610,000",Miami,fl,33127,-- ,-- ,"2,010 ",THE KEYES COMPANY,11,2021
"$350,000",Miami,fl,33132,2 ,2 ,"1,041 ","EXPRESS REAL ESTATE OF MIAMI, INC",10,2021
"$450,000",Miami,fl,33137,2 ,2 ,835 ,"MIAMI WAVE REALTY, LLC",10,2021
"$555,000",Tampa,fl,33609,3 ,2 ,"1,448 ",SMITH & ASSOCIATES REAL ESTATE,11,2021
$1.20M,Tampa,fl,33629,2 ,2 ,"1,476 ",KELLER WILLIAMS SOUTH TAMPA,11,2021
"$145,000",Tampa,fl,33647,0,0,732 ,"MAVEN ESTATES, LLC",11,2021
$1.88M,Tampa,fl,33634,3 ,4 ,"4,176 ",STELLAR NON-MEMBER OFFICE,11,2021
$1.24M,Tampa,fl,33609,4 ,3 ,"2,530 ",SMITH & ASSOCIATES REAL ESTATE,11,2021
"$430,000",Tampa,fl,33647,3 ,2 ,"2,159 ",FLORIDA EXECUTIVE REALTY,11,2021
"$146,000",Tampa,fl,33617,2 ,2 ,879 ,KELLER WILLIAMS SOUTH TAMPA,11,2021
"$199,040",Tampa,fl,33647,3 ,2 ,"1,336 ",,10,2021
"$434,800",Tampa,fl,33647,6 ,4 ,"2,742 ",STELLAR NON-MEMBER OFFICE,10,2021
"$340,000",Orlando,fl,32828,3 ,3 ,"1,846 ",RE/MAX 200 REALTY,11,2021
"$585,000",Orlando,fl,32827,3 ,2 ,"2,293 ",MAINFRAME REAL ESTATE,11,2021
"$435,000",Orlando,fl,32832,4 ,4 ,"2,476 ",MAINFRAME REAL ESTATE,11,2021
"$540,000",Orlando,fl,32819,4 ,3 ,"2,753 ",REAL LIVING R E SOLUTIONS,11,2021
"$440,000",Orlando,fl,32828,4 ,3 ,"2,328 ",THE WILKINS WAY LLC,11,2021
"$435,500",Orlando,fl,32817,4 ,2 ,"1,940 ",,11,2021
"$120,000",Orlando,fl,32832,0,0,0,"VENTURE I PROPERTIES, INC.",11,2021
"$328,000",Orlando,fl,32803,3 ,3 ,"1,468 ",COLDWELL BANKER REALTY,11,2021
"$310,000",Orlando,fl,32828,3 ,2 ,"1,568 ",Z HOUSE REALTY GROUP,11,2021
"$208,000",Hialeah,fl,33012,3 ,2 ,"1,309 ",ROBERT SLACK LLC,10,2021
"$270,000",Hialeah,fl,33010,3 ,2 ,"1,053 ",FORTUNE INTERNATIONAL REALTY,10,2021
"$285,000",Hialeah,fl,33012,3 ,2 ,"1,264 ",ONEPATH REALTY LLC,10,2021
"$158,000",Hialeah,fl,33012,0,0,660 ,MIAMI HOME BROKERS REALTY,10,2021
"$320,000",Hialeah,fl,33010,3 ,3 ,"1,240 ","AHMANTERI GROUP, LLC.",10,2021
"$358,500",Hialeah,fl,33018,3 ,2 ,"1,285 ",FLORIDA REALTY OF MIAMI CORP,10,2021
"$435,000",Hialeah,fl,33012,3 ,2 ,"1,340 ","ONYX REALTY PROPERTIES, LLC.",10,2021
"$390,000",Hialeah,fl,33010,4 ,2 ,"1,587 ",,10,2021
"$430,000",Hialeah,fl,33018,3 ,3 ,"1,650 ",REALTY ONE GROUP EVOLUTION,10,2021
"$250,000",Tallahassee,fl,32311,3 ,2 ,"1,571 ",XCELLENCE REALTY,11,2021
"$105,000",Tallahassee,fl,32303,2 ,2 ,984 ,COLDWELL BANKER HARTUNG,11,2021
"$354,980",Tallahassee,fl,32308,3 ,2 ,"1,569 ","THE ZINS COMPANY, LLC",11,2021
"$112,000",Tallahassee,fl,32312,2 ,1 ,940 ,CAPITAL CITY REAL ESTATE GROUP,11,2021
"$229,000",Tallahassee,fl,32303,3 ,2 ,"1,280 ",BEVIS REALTY,11,2021
"$133,500",Tallahassee,fl,32312,0,0,0,COBB REALTY & INVESTMENT COMPA,11,2021
"$130,000",Tallahassee,fl,32310,3 ,2 ,"1,515 ",KELLER WILLIAMS TOWN & COUNTRY,11,2021
"$340,000",Tallahassee,fl,32308,3 ,2 ,"1,633 ","COTTON & COMPANY REAL ESTATE,",11,2021
"$210,000",Tallahassee,fl,32311,3 ,2 ,"1,224 ","KELLY & KELLY PROPERTIES, INC",11,2021
"$550,000",Hollywood,fl,33020,3 ,2 ,"1,320 ","ELITA REALTY, INC.",11,2021
$1.52M,Hollywood,fl,33019,2 ,3 ,"2,308 ",FGI REALTY,11,2021
"$290,000",Hollywood,fl,33019,0,0,980 ,LEVCO REAL ESTATE GROUP LLC,10,2021
"$290,000",Hollywood,fl,33019,0,0,847 ,"L M G REALTY, INC.",10,2021
"$280,000",Hollywood,fl,33020,3 ,1 ,"1,375 ",OPEN TO CLOSE REALTY,10,2021
"$697,000",Hollywood,fl,33021,4 ,2 ,"2,134 ",HAMPTON INTERNATIONAL REALTY,10,2021
"$405,000",Hollywood,fl,33020,3 ,2 ,"1,298 ",UNITED REALTY GROUP INC,10,2021
"$518,000",Hollywood,fl,33019,2 ,2 ,"1,176 ",OCEAN AVE REAL ESTATE LLC,10,2021
"$450,000",Hollywood,fl,33019,3 ,3 ,"1,604 ",PROPERTY QUEST,10,2021
"$340,000",Gainesville,fl,32607,3 ,2 ,"2,448 ",,11,2021
"$257,000",Gainesville,fl,32607,3 ,2 ,"1,404 ",WATSON REALTY-TIOGA,11,2021
"$235,000",Gainesville,fl,32607,3 ,4 ,"1,736 ",KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,11,2021
"$374,278",Gainesville,fl,32608,4 ,2 ,"2,112 ",RABELL REALTY GROUP LLC,10,2021
"$135,000",Gainesville,fl,32608,3 ,2 ,"1,152 ",KELLER WILLIAMS GAINESVILLE REALTY PARTNERS,10,2021
"$320,000",Gainesville,fl,32609,3 ,2 ,"2,020 ",BHHS FLORIDA REALTY,10,2021
"$202,500",Gainesville,fl,32605,3 ,2 ,"1,522 ",COLDWELL BANKER MM PARRISH,10,2021
"$162,500",Gainesville,fl,32653,2 ,2 ,960 ,DAWN REALTY,10,2021
"$658,300",Gainesville,fl,32607,4 ,3 ,"2,956 ",COLDWELL BANKER MM PARRISH,10,2021
"$442,500",Miramar,fl,33027,3 ,3 ,"1,650 ",COLDWELL BANKER REALTY,11,2021
"$420,000",Miramar,fl,33023,3 ,2 ,"1,837 ",KELLER WILLIAMS REALTY JUPITER,10,2021
"$928,000",Miramar,fl,33029,5 ,4 ,"3,707 ",NEALE REAL ESTATE COMPANY,10,2021
"$300,000",Miramar,fl,33027,2 ,2 ,"1,068 ",LONDON FOSTER REALTY,10,2021
"$442,400",Miramar,fl,33023,3 ,2 ,"1,552 ",,10,2021
"$655,000",Miramar,fl,33029,4 ,3 ,"2,657 ",CACOPHONY GROUP LLC,10,2021
"$617,000",Miramar,fl,33029,4 ,3 ,"2,481 ",KELLER WILLIAMS EAGLE REALTY,10,2021
"$500,500",Miramar,fl,33025,3 ,2 ,"1,967 ",ABUNDANT HOMES REALTY AND INVESTMENTS LLC,10,2021
"$395,000",Miramar,fl,33023,3 ,2 ,"1,611 ",BEACHFRONT REALTY INC,10,2021
"$659,900",Clearwater,fl,33761,4 ,3 ,"2,866 ",LOWE AND SONS INC.,11,2021
"$180,000",Clearwater,fl,33765,2 ,2 ,"1,056 ","COAST TO COAST REAL ESTATE,INC",11,2021
"$76,000",Clearwater,fl,33762,0,0,0,BEYCOME OF FLORIDA LLC,11,2021
"$87,000",Clearwater,fl,33764,2 ,2 ,932 ,PITTA AND ASSOC INC,11,2021
"$467,000",Clearwater,fl,33763,4 ,2 ,"2,748 ",STONEBRIDGE REAL ESTATE CO,11,2021
"$160,000",Clearwater,fl,33763,2 ,2 ,"1,400 ",TOM TUCKER REALTY,11,2021
"$398,000",Clearwater,fl,33764,3 ,3 ,"1,853 ",RIZZO & ASSOCIATES INC,10,2021
$2.54M,Clearwater,fl,33767,3 ,4 ,"3,966 ",KELLER WILLIAMS REALTY,10,2021
"$70,000",Clearwater,fl,33764,0,0,-- ,CHARLES RUTENBERG REALTY INC,10,2021
"$346,500",Brandon,fl,33510,4 ,2 ,"2,115 ",54 REALTY LLC,10,2021
"$351,783",Brandon,fl,33511,4 ,3 ,"2,332 ",STELLAR NON-MEMBER OFFICE,10,2021
